"Name","Type","Latitude","Longitude","Address"
"Aswad Hospital","hospital","12.9147871","77.6247622","No-206, Reddy Building , Roopena Agrahara Opp Roopena Agrahara Bus Stop, Hosur Main Road"
"TSR heart care","hospital","13.0264438","77.5933686",""
"Fortis Hospital","hospital","13.0022409","77.5490879","111, West Of Chord Road, Mahalakshmipuram, Rajajinagar I Block"
"Citi Hospital","hospital","12.9956506","77.5510696","25/91, Chord Road, Iind Block, Rajajinagar"
"Vasan Eye Care Hospital, Rajaji Nagar","hospital","12.9995223","77.5505328","Old 389, New 46, 19th Main, 1st Block, Rajaji Nagar"
"Ananya Hospital","hospital","12.9998205","77.55045","No.389/44, 19th Main, 1st Block, Rajajinagar"
"Baptist","hospital","12.9970915","77.5719766",""
"Shivakrupa Hospital","hospital","12.973967","77.5479135",""
"Dr. Ambedkar Medical College Hospital","hospital","13.0248621","77.6139585",""
"Sri Maruthi hospital, Sheshadripuram","hospital","12.9926441","77.5742046","No.67,Link Road,Sheshadripuram"
"Sunny Medicals Hospital Clinic","hospital","12.9267954","77.6699091",""
"Karunya Homoeopathy Centre","hospital","13.0307899","77.653594",""
"Ayur Seva Hospital","hospital","13.0148188","77.6653699",""
"Vinayaka Specialty Hospital","hospital","12.8990004","77.6218548",""
"Koshys Hospital","hospital","13.0207033","77.6760593",""
"Gurushree Hitech Multispeciality Hospital","hospital","12.9593144","77.5265054","No. 1558, Opposite Chandra Layout Bus Stand, Chandra Layout, Vijaynagar"
"Shobha Hospital, Bengaluru Urban","hospital","12.9755854","77.5313495","29 And 30, Nagarbhavi Road, Opp To Prashanthnagar Bus Stop, Vijaynagar"
"Gayathri Hospital, Bengaluru Urban","hospital","12.9744053","77.5426819","# 91, Magadi Chord Road"
"MEDSOL Hospital","hospital","12.9309944","77.4929837","3 P (2), 60 Ft Road, Jnanabharathi Layout, 1st Block, (Valgerhalli), Near To Srikki Apartment"
"Government Primary Health Centre","hospital","13.003447","77.504284","Hegganahalli"
"Bharathy Hospital","hospital","12.9761294","77.5326369","No.4, Nagarabhavi Main Road,Prashanth Nagar,Near Shopper City Shop"
"Yogananda Medical and Research Centre","hospital","12.9202791","77.5598033","No. 277, M.K. Puttalingaiah Road, Padmanabha Nagar"
"Government Primary Healthcare Center, Begur","hospital","12.8778532","77.6246582","Begur Main Road, Classic Paradise Layout, Bommanhalli, Bengaluru"
"Cure & Care Dental Clinic Dr. Moumita Mukherjee","hospital","12.9074968","77.6492213",""
"Shirdi Sai Hospital","hospital","13.0372438","77.5648754","No 519 2nd Nain Netravathystreet, Devasandra, New Bel Road"
"Nayantara Opticals","hospital","12.8924828","77.6198497",""
"Kottakkal Arya Vaidya Sala","hospital","12.9411061","77.5850591",""
"Charan Homeopathy, Ramamurthy Nagar","hospital","13.0100409","77.6674667",""
"Dhanavantri Hospital","hospital","13.0834023","77.6348642",""
"T.R.Hospital","hospital","12.8807554","77.5841671","Kothanur Dinne Main Road,Sapthagiri Layout,OppositeFabricana Factory,J.P.Ngar,8Th Phase"
"Rainbow Clinic and Diagnostic Laboratory","hospital","12.891484","77.5816961",""
"Cloud Nine Hospital","hospital","13.0078742","77.5625316","11th Main Road,17th Cross, Bangalore"
"Nayak Hospital, Gayathri Nagar","hospital","12.9993857","77.5606403","No 3367,5Th Cross, Gayathri Nagar"
"Rajnandani Hospital, Bangalore","hospital","12.8845448","77.5701276","#3, 6 th Cross, Old Bank Colony, Konanakunte"
"Maharaja Agrasen Hospital, Bengaluru Urban","hospital","12.915903","77.5550223","15Th Main, 17Th Cross Padmanabhanagar"
